sg_uf;nm_ue;ds_cor_raca;cd_cor_raca;ds_sexo;cd_sexo;qt_candidato;qt_cand_eleitos;qt_cand_turno_2;qt_cand_nao_eleitos;qt_cand_suplentes;qt_cand_nao_informados
CE;APUIARÉS;Parda;03;Masculino;2;13,0;5,0;0,0;1,0;7,0;0,0
CE;APUIARÉS;Preta;02;Masculino;2;2,0;0,0;0,0;0,0;2,0;0,0
CE;AQUIRAZ;Branca;01;Feminino;4;20,0;0,0;0,0;7,0;11,0;2,0
CE;AQUIRAZ;Branca;01;Masculino;2;26,0;3,0;0,0;6,0;15,0;2,0
CE;AQUIRAZ;Parda;03;Feminino;4;25,0;1,0;0,0;7,0;16,0;1,0
CE;AQUIRAZ;Parda;03;Masculino;2;55,0;11,0;0,0;16,0;25,0;3,0
CE;AQUIRAZ;Preta;02;Feminino;4;1,0;0,0;0,0;0,0;0,0;1,0
CE;AQUIRAZ;Preta;02;Masculino;2;5,0;0,0;0,0;1,0;4,0;0,0
CE;ARACATI;Amarela;04;Feminino;4;1,0;0,0;0,0;0,0;1,0;0,0
CE;ARACATI;Branca;01;Feminino;4;14,0;1,0;0,0;1,0;12,0;0,0
CE;ARACATI;Branca;01;Masculino;2;34,0;8,0;0,0;2,0;24,0;0,0
CE;ARACATI;Parda;03;Feminino;4;24,0;2,0;0,0;1,0;19,0;2,0
CE;ARACATI;Parda;03;Masculino;2;48,0;5,0;0,0;5,0;34,0;4,0
CE;ARACATI;Preta;02;Feminino;4;7,0;0,0;0,0;4,0;3,0;0,0
CE;ARACATI;Preta;02;Masculino;2;8,0;0,0;0,0;0,0;8,0;0,0
CE;ARACOIABA;Branca;01;Feminino;4;1,0;0,0;0,0;0,0;1,0;0,0
CE;ARACOIABA;Branca;01;Masculino;2;1,0;0,0;0,0;1,0;0,0;0,0
CE;ARACOIABA;Parda;03;Feminino;4;27,0;4,0;0,0;5,0;18,0;0,0
CE;ARACOIABA;Parda;03;Masculino;2;48,0;7,0;0,0;5,0;35,0;1,0
CE;ARACOIABA;Preta;02;Feminino;4;1,0;0,0;0,0;0,0;1,0;0,0
CE;ARACOIABA;Preta;02;Masculino;2;3,0;0,0;0,0;1,0;2,0;0,0
CE;ARARENDÁ;Branca;01;Masculino;2;1,0;0,0;0,0;0,0;1,0;0,0
CE;ARARENDÁ;Parda;03;Feminino;4;8,0;2,0;0,0;0,0;6,0;0,0
CE;ARARENDÁ;Parda;03;Masculino;2;13,0;7,0;0,0;0,0;5,0;1,0
CE;ARARENDÁ;Preta;02;Masculino;2;1,0;0,0;0,0;0,0;1,0;0,0
CE;ARARIPE;Branca;01;Feminino;4;7,0;0,0;0,0;0,0;6,0;1,0
CE;ARARIPE;Branca;01;Masculino;2;10,0;4,0;0,0;0,0;6,0;0,0
CE;ARARIPE;Parda;03;Feminino;4;4,0;2,0;0,0;0,0;2,0;0,0
CE;ARARIPE;Parda;03;Masculino;2;8,0;3,0;0,0;1,0;4,0;0,0
CE;ARARIPE;Preta;02;Masculino;2;3,0;2,0;0,0;0,0;1,0;0,0
CE;ARATUBA;Branca;01;Feminino;4;10,0;0,0;0,0;1,0;9,0;0,0
CE;ARATUBA;Branca;01;Masculino;2;10,0;3,0;0,0;1,0;6,0;0,0
CE;ARATUBA;Indígena;05;Feminino;4;1,0;1,0;0,0;0,0;0,0;0,0
CE;ARATUBA;Indígena;05;Masculino;2;1,0;0,0;0,0;1,0;0,0;0,0
CE;ARATUBA;Parda;03;Feminino;4;15,0;1,0;0,0;5,0;9,0;0,0
CE;ARATUBA;Parda;03;Masculino;2;37,0;4,0;0,0;7,0;26,0;0,0
CE;ARATUBA;Preta;02;Masculino;2;2,0;0,0;0,0;1,0;1,0;0,0
CE;ARNEIROZ;Branca;01;Feminino;4;1,0;0,0;0,0;0,0;1,0;0,0
CE;ARNEIROZ;Branca;01;Masculino;2;5,0;1,0;0,0;0,0;3,0;1,0
CE;ARNEIROZ;Parda;03;Feminino;4;6,0;4,0;0,0;0,0;2,0;0,0
CE;ARNEIROZ;Parda;03;Masculino;2;7,0;4,0;0,0;0,0;3,0;0,0
CE;ARNEIROZ;Preta;02;Masculino;2;1,0;0,0;0,0;0,0;1,0;0,0
CE;ASSARÉ;Branca;01;Feminino;4;13,0;2,0;0,0;2,0;9,0;0,0
CE;ASSARÉ;Branca;01;Masculino;2;23,0;7,0;0,0;3,0;13,0;0,0
CE;ASSARÉ;Parda;03;Feminino;4;7,0;0,0;0,0;3,0;4,0;0,0
CE;ASSARÉ;Parda;03;Masculino;2;14,0;2,0;0,0;2,0;10,0;0,0
CE;ASSARÉ;Preta;02;Feminino;4;1,0;0,0;0,0;0,0;1,0;0,0
CE;ASSARÉ;Preta;02;Masculino;2;5,0;0,0;0,0;5,0;0,0;0,0
CE;AURORA;Branca;01;Feminino;4;4,0;1,0;0,0;2,0;1,0;0,0
CE;AURORA;Branca;01;Masculino;2;6,0;0,0;0,0;3,0;2,0;1,0
CE;AURORA;Parda;03;Feminino;4;10,0;2,0;0,0;1,0;7,0;0,0
CE;AURORA;Parda;03;Masculino;2;22,0;8,0;0,0;2,0;12,0;0,0
CE;AURORA;Preta;02;Feminino;4;1,0;0,0;0,0;1,0;0,0;0,0
CE;AURORA;Preta;02;Masculino;2;1,0;0,0;0,0;1,0;0,0;0,0
CE;BAIXIO;Branca;01;Feminino;4;5,0;2,0;0,0;0,0;3,0;0,0
CE;BAIXIO;Branca;01;Masculino;2;5,0;1,0;0,0;1,0;3,0;0,0
CE;BAIXIO;Parda;03;Feminino;4;7,0;4,0;0,0;0,0;3,0;0,0
CE;BAIXIO;Parda;03;Masculino;2;9,0;2,0;0,0;0,0;7,0;0,0
CE;BANABUIÚ;Amarela;04;Masculino;2;1,0;0,0;0,0;0,0;1,0;0,0
CE;BANABUIÚ;Branca;01;Feminino;4;13,0;2,0;0,0;0,0;11,0;0,0
CE;BANABUIÚ;Branca;01;Masculino;2;17,0;4,0;0,0;0,0;13,0;0,0
CE;BANABUIÚ;Parda;03;Feminino;4;10,0;1,0;0,0;3,0;6,0;0,0
CE;BANABUIÚ;Parda;03;Masculino;2;25,0;3,0;0,0;6,0;16,0;0,0
CE;BANABUIÚ;Preta;02;Masculino;2;3,0;1,0;0,0;0,0;1,0;1,0
CE;BARBALHA;Amarela;04;Feminino;4;2,0;0,0;0,0;2,0;0,0;0,0
CE;BARBALHA;Amarela;04;Masculino;2;3,0;0,0;0,0;3,0;0,0;0,0
CE;BARBALHA;Branca;01;Feminino;4;10,0;0,0;0,0;3,0;7,0;0,0
CE;BARBALHA;Branca;01;Masculino;2;20,0;3,0;0,0;3,0;13,0;1,0
CE;BARBALHA;Parda;03;Feminino;4;40,0;2,0;0,0;3,0;35,0;0,0
CE;BARBALHA;Parda;03;Masculino;2;70,0;8,0;0,0;9,0;52,0;1,0
CE;BARBALHA;Preta;02;Feminino;4;3,0;0,0;0,0;1,0;2,0;0,0
CE;BARBALHA;Preta;02;Masculino;2;18,0;2,0;0,0;1,0;15,0;0,0
CE;BARREIRA;Amarela;04;Feminino;4;7,0;0,0;0,0;0,0;7,0;0,0
CE;BARREIRA;Amarela;04;Masculino;2;5,0;2,0;0,0;0,0;3,0;0,0
CE;BARREIRA;Branca;01;Feminino;4;4,0;0,0;0,0;0,0;4,0;0,0
CE;BARREIRA;Branca;01;Masculino;2;9,0;4,0;0,0;0,0;5,0;0,0
CE;BARREIRA;Parda;03;Feminino;4;11,0;0,0;0,0;3,0;8,0;0,0
CE;BARREIRA;Parda;03;Masculino;2;29,0;3,0;0,0;6,0;20,0;0,0
CE;BARREIRA;Preta;02;Feminino;4;3,0;0,0;0,0;0,0;3,0;0,0
CE;BARREIRA;Preta;02;Masculino;2;7,0;2,0;0,0;0,0;5,0;0,0
CE;BARRO;Branca;01;Feminino;4;7,0;1,0;0,0;1,0;5,0;0,0
CE;BARRO;Branca;01;Masculino;2;16,0;3,0;0,0;5,0;8,0;0,0
CE;BARRO;Parda;03;Feminino;4;9,0;0,0;0,0;2,0;7,0;0,0
CE;BARRO;Parda;03;Masculino;2;15,0;7,0;0,0;2,0;6,0;0,0
CE;BARRO;Preta;02;Masculino;2;1,0;0,0;0,0;0,0;1,0;0,0
CE;BARROQUINHA;Branca;01;Feminino;4;3,0;2,0;0,0;0,0;1,0;0,0
CE;BARROQUINHA;Branca;01;Masculino;2;3,0;2,0;0,0;0,0;1,0;0,0
CE;BARROQUINHA;Parda;03;Feminino;4;5,0;2,0;0,0;0,0;3,0;0,0
CE;BARROQUINHA;Parda;03;Masculino;2;8,0;5,0;0,0;0,0;3,0;0,0
CE;BARROQUINHA;Preta;02;Masculino;2;2,0;0,0;0,0;0,0;2,0;0,0
CE;BATURITÉ;Branca;01;Feminino;4;11,0;0,0;0,0;1,0;10,0;0,0
CE;BATURITÉ;Branca;01;Masculino;2;12,0;3,0;0,0;3,0;6,0;0,0
CE;BATURITÉ;Indígena;05;Feminino;4;1,0;0,0;0,0;0,0;1,0;0,0
CE;BATURITÉ;Parda;03;Feminino;4;25,0;3,0;0,0;3,0;18,0;1,0
CE;BATURITÉ;Parda;03;Masculino;2;49,0;6,0;0,0;5,0;38,0;0,0
CE;BATURITÉ;Preta;02;Feminino;4;3,0;0,0;0,0;1,0;2,0;0,0
CE;BATURITÉ;Preta;02;Masculino;2;10,0;1,0;0,0;0,0;9,0;0,0
CE;BEBERIBE;Amarela;04;Feminino;4;3,0;0,0;0,0;0,0;3,0;0,0
CE;BEBERIBE;Amarela;04;Masculino;2;2,0;0,0;0,0;0,0;2,0;0,0
CE;BEBERIBE;Branca;01;Feminino;4;14,0;0,0;0,0;3,0;11,0;0,0
CE;BEBERIBE;Branca;01;Masculino;2;18,0;3,0;0,0;7,0;8,0;0,0
CE;BEBERIBE;Parda;03;Feminino;4;25,0;0,0;0,0;9,0;14,0;2,0
CE;BEBERIBE;Parda;03;Masculino;2;66,0;11,0;0,0;16,0;36,0;3,0
CE;BEBERIBE;Preta;02;Feminino;4;4,0;0,0;0,0;2,0;2,0;0,0
CE;BEBERIBE;Preta;02;Masculino;2;8,0;1,0;0,0;3,0;4,0;0,0
CE;BELA CRUZ;Branca;01;Masculino;2;3,0;0,0;0,0;2,0;1,0;0,0
CE;BELA CRUZ;Parda;03;Feminino;4;24,0;2,0;0,0;10,0;12,0;0,0
CE;BELA CRUZ;Parda;03;Masculino;2;48,0;11,0;0,0;16,0;21,0;0,0
CE;BELA CRUZ;Preta;02;Feminino;4;2,0;0,0;0,0;2,0;0,0;0,0
CE;BELA CRUZ;Preta;02;Masculino;2;2,0;0,0;0,0;2,0;0,0;0,0
CE;BOA VIAGEM;Amarela;04;Feminino;4;1,0;0,0;0,0;0,0;1,0;0,0
